Date;Hive;ID;MB;CX;AL;ME;OTH;LO;OL;Brain;MBr;CXr;ALr;MEr;OTHr;LOr;OLr;MBRi;MBL;ALRi;ALL;MERi;MEL;LORi;LOL;OLRi;OLL;ALRL;MBRL;OLRL;>RAL. >ROL. >RMB;>RAL. >ROL. <RMB;>RAL. <ROL. <RMB;<RAL. <ROL. <RMB;>RAL. <ROL. >RMB;<RAL. >ROL. >RMB;<RAL. >ROL. <RMB;<RAL. <ROL. >RMB;>RAL. >ROL;>RAL. <ROL;<RAL. >ROL;<RAL. <ROL
16/06/2021;H1;1;0.267332043837924;0.00470583077185884;0.0582501458542538;0.186208358630721;0.315538659813968;0.0606832635424706;0.246891622173192;0.892718302451197;0.299458455263987;0.00527135016604647;0.0652503098618147;0.208585797019548;0.353458262194885;0.0679758254937178;0.276561622513266;0.128410805376434;0.138906141557529;0.0298797608657096;0.0282892391297592;0.0952756173349378;0.0909327412957835;0.0300887586299056;0.0305945049125649;0.125364375964843;0.121527246208348;0.0015905217359504;-0.010495336181095;0.003837129756495;0;1;0;0;0;0;0;0;1;0;0;0
16/06/2021;H1;2;0.205380161467604;0.00144930272993595;0.0504510206165011;0.1476546350263;0.163508428007315;0.0505670780616717;0.198221713087972;0.619010625909329;0.331787780162739;0.00234132124599141;0.0815026729830176;0.238533280118406;0.264144783891424;0.0816901615984192;0.320223441716826;NA;NA;0.0264788678123292;0.0239721528041718;0.0763494439435663;0.0713051910827345;0.0260007992034962;0.0245662788581755;0.102350243147062;0.09587146994091;0.0025067150081574;NA;0.00647877320615249;0;0;0;0;0;0;0;0;1;0;0;0
16/06/2021;H1;3;0.271567084844197;0.0045137476278361;0.0644871185532218;0.210776477769777;0.250160120934199;0.0623484978822849;0.273124975652062;0.863853047611516;0.314367224373472;0.00522513365012284;0.0746505655464474;0.243995756399259;0.289586430962849;0.0721748890678495;0.316170645467109;NA;NA;0.0334879691795122;0.0309991493737095;0.109459637987184;0.101316839782592;0.0326634994605621;0.0296846839186829;0.142123137447746;0.131001523701275;0.0024888198058027;NA;0.0111216137464712;0;0;0;0;0;0;0;0;1;0;0;0
16/06/2021;H1;4;0.240607833063146;0.00489460990803994;0.0544873271193223;0.157707992051756;0.174268303817663;0.0465645252496064;0.204272517301362;0.678530591209535;0.354601304908366;0.00721354345913116;0.0803019463311069;0.232425765462732;0.256831904228542;0.068625535610121;0.301051301072853;0.122189126031108;0.118415404750727;0.026900383554866;0.0275863145584923;0.0791130678572572;0.0785944524400267;0.0257956918307775;0.0207686761673379;0.104908759688035;0.0993631286073646;-0.000685931003626301;0.003773721280381;0.0055456310806701;0;0;0;0;0;1;0;0;0;0;1;0
16/06/2021;H1;5;0.23300376731998;0.00416384525851345;0.0472382095837902;0.150748244994112;0.181972052215715;0.050651310931731;0.201399555925843;0.667777430303843;0.348924292355855;0.00623537883965152;0.0707394521589274;0.225746241416875;0.272504046944079;0.075850588284609;0.301596829701484;NA;NA;0.0238918666923744;0.0232529323587639;0.0778966786490242;0.0728515663450878;0.0252884642352726;0.0253628466964584;0.103185142884297;0.0982144130415462;0.000638934333610498;NA;0.00497072984275061;0;0;0;0;0;0;0;0;1;0;0;0
16/06/2021;H1;7;0.229916864005311;0.00452424356965873;0.0558299930728764;0.159022733343172;0.320518455565681;0.0524776703193909;0.211500403662563;0.822289959876091;0.279605583461042;0.00550200512035983;0.0678957494279625;0.193390094860376;0.389787631134374;0.0638189359958848;0.257209030856261;NA;NA;0.0285426427185229;0.0272873503543535;0.0819002761312927;0.0771221426022644;0.0272343386342125;0.0252433316851783;0.109134614765505;0.102365474287443;0.0012552923641694;NA;0.00676914047806251;0;0;0;0;0;0;0;0;1;0;0;0
16/06/2021;H2;9;0.256087847822982;0.00486479394887198;0.057887117162594;0.171203954441016;0.309433756878552;0.056460540708227;0.227664495149243;0.855938010962245;0.299189712973593;0.00568358208955223;0.0676300344431688;0.200019104477611;0.361514213547646;0.0659633524684271;0.265982456946038;0.131362015272287;0.12472237342119;0.0287291711685857;0.0291570025950524;0.0838948968099426;0.0873076425326403;0.0284371891917578;0.0280227225838319;0.1123320860017;0.115330365116472;-0.000427831426466702;0.006639641851097;-0.00299827911477181;0;0;0;0;0;0;0;1;0;0;0;1
16/06/2021;H2;10;0.222659306154675;0.0018844395341487;0.0462828412509756;0.134856059117874;0.168425340764995;0.0456682167921531;0.180524275910027;0.619776203614822;0.359257591459664;0.00304051611397433;0.0746766993973512;0.217588313864474;0.271751867500979;0.0736850116635568;0.291273325528031;NA;NA;0.0245508587551589;0.0217319824958166;0.0694632557024517;0.0653921744827455;0.0236808876293813;0.0219873291627718;0.093144143331833;0.0873795036455173;0.0028188762593423;NA;0.0057646396863157;0;0;0;0;0;0;0;0;1;0;0;0
16/06/2021;H2;11;0.319360510962557;0.00383102307745023;0.0751226096649455;0.201757834512926;0.396735165383172;0.06572263397017;0.267480468483096;1.06252977757122;0.300566174900591;0.00360556772931801;0.0707016511449347;0.18988440490968;0.373387338178933;0.0618548631365437;0.251739268046224;0.158458956705654;0.160897309268882;0.0396812046832874;0.0354351161105169;0.106512723857432;0.0952435384377089;0.0342936859983862;0.0314261179797702;0.140806409855818;0.126669656417479;0.0042460885727705;-0.002438352563228;0.0141367534383391;0;1;0;0;0;0;0;0;1;0;0;0
16/06/2021;H2;12;0.293562492691004;0.00404248680612659;0.0576189580617177;0.180288434015271;0.344294664444042;0.0558142090710703;0.236102643086341;0.935621245089233;0.313762106441914;0.00432064452078688;0.0615836358613494;0.192693822379029;0.367985086113778;0.0596547046831404;0.25234852706217;0.152448227353725;0.141113479228301;0.0271150997406587;0.030503543877468;0.0914181852166448;0.0888667899191252;0.0303708486820584;0.0254427315018298;0.121789033898703;0.114309521420955;-0.0033884441368093;0.011334748125424;0.00747951247774821;0;0;0;0;0;1;0;0;0;0;1;0
