Site;Tech;Date;Hive2;Hive;ID;BeeType;MB;CX;AL;ME;OTH;LO;OL;Brain;MBr;CXr;ALr;MEr;OTHr;LOr;OLr;MBRi;MBL;ALRi;ALL;MERi;MEL;LORi;LOL;OLRi;OLL;ALSD;MBSD;LOSD;MESD;CXSD;OLSD;MBRL;ALRL;OLRL;>RAL. >ROL. >RMB;>RAL. >ROL. <RMB;>RAL. <ROL. <RMB;<RAL. <ROL. <RMB;>RAL. <ROL. >RMB;<RAL. >ROL. >RMB;<RAL. >ROL. <RMB;<RAL. <ROL. >RMB;>RAL. >ROL;>RAL. <ROL;<RAL. >ROL;<RAL. <ROL;;
A;CTScanUS;02/09/2020;H7;H6;16;Forager;0.137651103855426;0.00324602463229754;0.026901466733712;0.148809026630834;0.171894154851614;0.0480228663940842;0.196831893024918;0.536524643097967;0.256560636358862;0.00605009420173983;0.0501402257655477;0.27735730044307;0.320384454028194;0.0895072892025865;0.366864589645656;NA;NA;0.0124986273463133;0.0143996736150943;0.0734460757502653;0.075362792591953;0.0234572647551601;0.0245656016389241;0.0969033405054254;0.0999283942308771;NA;NA;NA;NA;NA;NA;NA;-0.00190104626878108;-0.00302505372545171;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ALL;;
A;CTScanUS;02/09/2020;H7;H6;17;Forager;0.142462598870288;0.00343956787296329;0.0211306509900073;0.136527211279297;0.152605596274488;0.0410763139411264;0.177603525220424;0.49724193922817;0.286505597438988;0.00691729237140025;0.0424957135007694;0.274568978415654;0.306904112938192;0.0826083053349964;0.35717728375065;NA;NA;0.00972462666057466;0.0114060243294327;0.068167046368513;0.0683601649107844;0.0206464299893449;0.0204298839517815;0.0888134763578579;0.0887900488625659;NA;NA;NA;NA;NA;NA;NA;-0.00168139766885802;0.0000234274952919389;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ALL;NA;;
A;CTScanUS;02/09/2020;H7;H6;18;Forager;0.123748928732062;0.00355053164364849;0.0252068751433896;0.140277816993236;0.170326426928613;0.0430139864550522;0.183291803448288;0.506124565896001;0.244502909106945;0.00701513398655709;0.0498036982235104;0.277160656576508;0.336530645626894;0.084986956479585;0.362147613056093;0.0615183822914706;0.0622302298528388;0.0126984930443658;0.0125083820990238;0.0700293691342726;0.0702484478589632;0.0216416221692525;0.0213723642857997;0.0916709913035251;0.0916208121447629;NA;NA;NA;NA;NA;NA;-0.000711847561368134;0.000190110945342031;0.0000501791587622091;NA;ALL;NA;NA;NA;NA;NA;NA;ALL;NA;NA;NA;;
A;CTScanUS;02/09/2020;H7;H6;19;Forager;0.145836646406358;0.00326205345052243;0.0305535753652339;0.143665215445844;0.185948918477565;0.0426849697969128;0.186350185242757;0.551951378942436;0.264220096135619;0.0059100376862409;0.0553555558168473;0.260285997873786;0.336893656890307;0.0773346555971997;0.337620653470986;0.070692123682209;0.0751364499016538;0.0136444946322585;0.0169090807329754;0.0681721367386766;0.0754930787071676;0.0216199683853918;0.0210650014115209;0.0897921051240684;0.0965580801186885;NA;NA;NA;NA;NA;NA;-0.00444432621944478;-0.00326458610071694;-0.00676597499462006;NA;NA;NA;ALL;NA;NA;NA;NA;NA;NA;NA;ALL;;
A;CTScanUS;02/09/2020;H28;H2;21;Forager;0.13061217206497;0.00349615890142555;0.0311797160359036;0.150668350523118;0.172326269005875;0.0476123118630278;0.198280662386146;0.53589497839432;0.243727180382092;0.00652396279565999;0.058182512046159;0.281152756785592;0.32156723976442;0.088846348226077;0.369999105011669;0.0632347776925291;0.0673773943724407;0.0154396404783379;0.0157400755575657;0.0745169221983065;0.0761512700344644;0.0242027523967433;0.0234095594662845;0.0987196745950498;0.0995608295007488;NA;NA;NA;NA;NA;NA;-0.00414261667991163;-0.000300435079227859;-0.000841154905699082;NA;NA;NA;ALL;NA;NA;NA;NA;NA;NA;NA;ALL;;
A;CTScanUS;02/09/2020;H28;H2;22;Forager;0.140117187064219;0.00352876496629636;0.0305799913000494;0.148651064494711;0.153962496110573;0.0485450159034847;0.197196080398196;0.525384519839333;0.26669454803706;0.00671653776052534;0.0582049720638913;0.282937655909942;0.293047264045115;0.0923990221834669;0.375336678093408;NA;NA;0.0147049023246722;0.0158750889753771;0.0746524309802703;0.0739986335144409;0.0244510753951941;0.0240939405082906;0.0991035063754644;0.0980925740227315;NA;NA;NA;NA;NA;NA;NA;-0.00117018665070489;0.00101093235273286;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ALL;NA;;
A;CTScanUS;02/09/2020;H28;H2;23;Forager;0.144465615808585;0.00332518456998263;0.0290803656425251;0.160564543208202;0.19510340393083;0.0478362746095112;0.208400817817713;0.580375387769635;0.248917543460555;0.00572936868112415;0.0501061317473852;0.276656361713143;0.336167604695655;0.0824229897021383;0.359079351415281;NA;NA;0.0144845388138191;0.014595826828706;0.0804196006978623;0.0801360774622118;0.0236994397335377;0.0241368348759734;0.1041190404314;0.104272912338185;NA;NA;NA;NA;NA;NA;NA;-0.000111288014886831;-0.000153871906785202;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ALL;;
A;CTScanUS;02/09/2020;H28;H2;24;Forager;0.170194035581069;0.00299191368158847;0.0311682603822549;0.165705769365716;0.195326237128162;0.0515963056297931;0.217302074995509;0.616982521768584;0.27584903879158;0.00484926813325624;0.0505172501368611;0.268574495255911;0.316583096338383;0.0836268513440089;0.35220134659992;NA;NA;0.0156852693141521;0.0154692209527614;0.0818896097177126;0.0838161596480038;0.0258876585646155;0.0257086470651775;0.107777268282328;0.109524806713181;NA;NA;NA;NA;NA;NA;NA;0.000216048361390692;-0.0017475384308533;NA;NA;NA;NA;NA;NA;NA;NA;NA;ALL;NA;NA;;
A;CTScanUS;02/09/2020;H28;H2;25;Forager;0.135947640443549;0.00342353657995784;0.0207859160841213;0.140708777931377;0.124199196166132;0.0455651667920214;0.186273944723398;0.470635773700362;0.288859555606375;0.00727428039105563;0.0441656101079876;0.298975950818735;0.263896633249145;0.0968161991464575;0.395792149965192;NA;NA;0.0100711804245362;0.010711886669366;0.0742727001803641;0.0664360777510127;0.0230801445966728;0.0224850221953486;0.0973528447770369;0.0889210999463613;NA;NA;NA;NA;NA;NA;NA;-0.00064070624482984;0.00843174483067564;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ALL;NA;;
A;CTScanUS;02/09/2020;H28;H2;26;Forager;0.142525948837932;0.00362686498612082;0.0300591037203988;0.148968168956642;0.164046550695876;0.0469388885497551;0.195907057506397;0.536165525746725;0.265824529914404;0.00676445017808565;0.0560631041664514;0.277839886757306;0.305962511236444;0.0875455177473088;0.365385404504615;NA;NA;0.015532333418566;0.0145264537385975;0.0735757854156144;0.0753917504145567;0.0230602071525237;0.0238780482707609;0.0966359925681381;0.0992697986853176;NA;NA;NA;NA;NA;NA;NA;0.00100587967996849;-0.00263380611717948;NA;NA;NA;NA;NA;NA;NA;NA;NA;ALL;NA;NA;;
A;CTScanUS;02/09/2020;H36;H3;27;Forager;0.138835275421198;0.00320456914701008;0.0297876462537002;0.146110530596203;0.178891123506074;0.044515590270303;0.190626120866507;0.541344735194488;0.256463703062187;0.00591964590892119;0.0550252811510182;0.26990293078903;0.330456937836116;0.0822315012527276;0.352134432041757;0.0698004417450769;0.0689780105839654;0.0144538002962323;0.0153305220439992;0.0719696909873852;0.0741408396088184;0.0224715544275074;0.0220440358427956;0.0944412454148926;0.096184875451614;NA;NA;NA;NA;NA;NA;0.000822431161111539;-0.00087672174776691;-0.00174363003672147;NA;NA;NA;NA;NA;NA;NA;ALL;NA;NA;NA;ALL;;
A;CTScanUS;02/09/2020;H36;H3;28;Forager;0.12358512086128;0.00323757847263417;0.0286823653345588;0.144561400490772;0.17640948604196;0.0449926066666539;0.189554007157426;0.52146855786786;0.236994386328076;0.00620857849200291;0.0550030580018727;0.277219783071569;0.338293619778822;0.0862805743276569;0.363500357399226;0.0634535307797881;0.060131590081492;0.0145894418623088;0.01409292347225;0.072528880301367;0.0720325201894051;0.0225702983436402;0.0224223083230138;0.0950991786450072;0.0944548285124189;NA;NA;NA;NA;NA;NA;0.00332194069829606;0.00049651839005883;0.000644350132588303;ALL;NA;NA;NA;NA;NA;NA;NA;ALL;NA;NA;NA;;
A;CTScanUS;02/09/2020;H36;H3;29;Forager;0.13273437238803;0.0032540390547814;0.0272835006637508;0.138705887805063;0.172110793227979;0.0421192216950641;0.180825109500127;0.516207814834668;0.257133597310111;0.00630373845817039;0.0528537148793248;0.2687016426698;0.333413769187324;0.0815935374952705;0.35029518016507;0.0646076879133359;0.0680665388041447;0.0134536368333294;0.0138298638304214;0.0688747066826269;0.0698311811224364;0.0211090727476546;0.0210101489474095;0.0899837794302814;0.0908413300698459;NA;NA;NA;NA;NA;NA;-0.00345885089080879;-0.000376226997092041;-0.000857550639564456;NA;NA;NA;ALL;NA;NA;NA;NA;NA;NA;NA;ALL;;
A;CTScanUS;02/09/2020;H36;H3;30;Forager;0.123378585322935;0.00371934330228054;0.0304192201259204;0.146705126353818;0.188098925927505;0.0474046116387183;0.194109737992537;0.539725812671178;0.228594931771592;0.00689117180420368;0.0563605064122679;0.271814174733934;0.348508300902967;0.0878309143750348;0.359645089108969;0.0593157539564992;0.0640368728890518;0.0176481241030885;0.012771096022832;0.0715092738575326;0.0751958524962855;0.0234354400091777;0.0239691716295407;0.0949447138667103;0.0991650241258262;NA;NA;NA;NA;NA;NA;-0.00472111893255264;0.00487702808025653;-0.00422031025911594;NA;NA;ALL;NA;NA;NA;NA;NA;NA;ALL;NA;NA;;
A;CTScanUS;02/09/2020;H36;H3;31;Forager;0.139632503685158;0.00342762587999348;0.0320906823441071;0.153224927828245;0.198208738488249;0.047983121802927;0.201208049631172;0.57456760002868;0.243021889292379;0.00596557459874589;0.0558518829507707;0.266678677705803;0.344970267168486;0.0835117082838154;0.350190385989619;0.0707817802594784;0.0688383773246107;0.0161062802606611;0.0159844020834459;0.0782874182924228;0.0749375095358224;0.0239854669926027;0.0239976548103242;0.102272885285025;0.0989351643461466;NA;NA;NA;NA;NA;NA;0.00194340293486769;0.000121878177215189;0.00333772093887887;ALL;NA;NA;NA;NA;NA;NA;NA;ALL;NA;NA;NA;;
A;CTScanUS;02/09/2020;H36;H3;32;Forager;0.135465371286564;0.00354364645484102;0.028967612104135;0.163528195650677;0.188784690091269;0.0496973186180038;0.213225514268681;0.56998683420549;0.237664035653368;0.00621706720608827;0.0508215459827476;0.286898198058593;0.331208860910652;0.087190292188551;0.374088490247144;NA;NA;0.0129677800583551;0.0159995154650452;0.0851923506023496;0.0783355284675927;0.0255708591102353;0.0241264595077685;0.110763209712585;0.102461987975361;NA;NA;NA;NA;NA;NA;NA;-0.00303173540669004;0.00830122173722381;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ALL;NA;;
A;CTScanUS;02/09/2020;H36;H3;33;Forager;0.125958297616295;0.00293375376443673;0.0343219431849062;0.15247193501476;0.172950118799099;0.0481004869519916;0.200572421966752;0.536736535331489;0.2346743501232;0.00546591031412617;0.0639456063182078;0.28407221230169;0.322225351572695;0.0896165693700814;0.373688781671771;0.0603391819751231;0.0656181658989369;0.0169136428853779;0.0174076671380382;0.0764608981267426;0.0760110368880176;0.0246143112184998;0.0234861757334917;0.101075209345243;0.0994972126215093;NA;NA;NA;NA;NA;NA;-0.0052789839238138;-0.000494024252660357;0.00157799672373315;NA;NA;NA;NA;NA;NA;ALL;NA;NA;NA;ALL;NA;;
A;CTScanUS;02/09/2020;H36;H3;34;Forager;0.139564107359179;0.00372432464596148;0.0309604768386021;0.162914627182212;0.20331295140434;0.0506382778232382;0.21355290500545;0.591114765253533;0.236103233353204;0.00630051026447307;0.0523764227498579;0.275605748254887;0.343948355472288;0.0856657299052902;0.361271478160177;0.0712263039413073;0.0683378034178721;0.0158279444202725;0.0151325324183296;0.083278951108146;0.0796356760740659;0.0253810342206925;0.0252572436025456;0.108659985328838;0.104892919676612;NA;NA;NA;NA;NA;NA;0.00288850052343517;0.000695412001942819;0.00376706565222699;ALL;NA;NA;NA;NA;NA;NA;NA;ALL;NA;NA;NA;;
A;CTScanUS;02/09/2020;H36;H3;35;Forager;0.140747568301;0.00372764921045659;0.0339352532781218;0.154936475285919;0.193312519429547;0.0486756775829496;0.203612152868868;0.575335143087993;0.244635791837027;0.00647909180455969;0.0589834528375605;0.269297777386462;0.335999845919339;0.0846040402150526;0.353901817601514;0.0705468852381354;0.0702006830628649;0.0173753283777024;0.0165599249004193;0.0763775504058247;0.0785589248800939;0.0236191566352207;0.025056520947729;0.0999967070410454;0.103615445827823;NA;NA;NA;NA;NA;NA;0.000346202175270455;0.00081540347728308;-0.00361873878677754;NA;NA;NA;NA;ALL;NA;NA;NA;NA;ALL;NA;NA;;1
A;CTScanUS;02/09/2020;H36;H3;36;Forager;0.126743856395847;0.00397855000648297;0.0317644443697605;0.148551319237764;0.187185775330879;0.0466692844226964;0.195220603660461;0.54489322976343;0.232603103640825;0.00730152218666818;0.0582948046235614;0.272624637495054;0.343527438232527;0.0856484938213643;0.358273131316418;0.0633211910788292;0.063411108968519;0.0154557454334293;0.0163086989363312;0.0746932712262791;0.0738580480114851;0.0226897029814257;0.0239795814412707;0.0973829742077049;0.0978376294527557;NA;NA;NA;NA;NA;NA;-0.0000899178896897335;-0.00085295350290189;-0.000454655245050894;NA;NA;NA;ALL;NA;NA;NA;NA;NA;NA;NA;ALL;;
A;CTScanUS;02/09/2020;H36;H3;38;Forager;0.129424997732579;0.0033093476024629;0.0324197659224534;0.158953793825138;0.182514493519148;0.0473298759398448;0.206283669764982;0.553952274541625;0.233639256810839;0.00597406627710169;0.0585244747831022;0.286944924915537;0.329476927719399;0.0854403494940218;0.372385274409559;0.0623819779595038;0.067043019773075;0.0154958072396774;0.016923958682776;0.0767758829385506;0.082177910886587;0.0241866042391234;0.0231432717007214;0.100962487177674;0.105321182587308;NA;NA;NA;NA;NA;NA;-0.00466104181357122;-0.00142815144309864;-0.00435869540963429;NA;NA;NA;ALL;NA;NA;NA;NA;NA;NA;NA;ALL;;
A;CTScanUS;02/09/2020;H36;H3;39;Forager;0.109657247659602;0.00341287373279608;0.0310449621336844;0.147800227334037;0.100421910028861;0.0432239825072402;0.191024209841277;0.435561203396221;0.251760824436536;0.00783557788477194;0.0712757745446933;0.339332856511525;0.230557518084339;0.0992374485381341;0.438570305049659;0.0594723324285229;0.0298694519138447;0.0153807265015491;0.0156613862941394;0.0747014108300711;0.0730988165039659;0.021997047624447;0.0212264599931273;0.096698458454518;0.0943252764970933;NA;NA;NA;NA;NA;NA;0.0296028805146782;-0.000280659792590331;0.00237318195742479;NA;NA;NA;NA;NA;ALL;NA;NA;NA;NA;ALL;NA;;
A;CTScanUS;02/09/2020;H36;H3;40;Forager;0.133253397477925;0.00404535919737928;0.0325311400067543;0.158504917091461;0.190143121144529;0.0500341726617793;0.208539089753241;0.568512107579828;0.234389726623745;0.00711569576697405;0.0572215429944672;0.278806581211122;0.334457469963082;0.0880089834406099;0.366815564651732;NA;NA;0.0163554017980443;0.01617573820871;0.0789509877916451;0.0795539292998161;0.0245518605255563;0.0254823121362229;0.103502848317201;0.105036241436039;NA;NA;NA;NA;NA;NA;NA;0.00017966358933422;-0.0015333931188375;NA;NA;NA;NA;NA;NA;NA;NA;NA;ALL;NA;NA;;
A;CTScanUS;02/09/2020;H36;H3;41;Forager;0.140001712430231;0.00350446712333075;0.029460381465167;0.144967864788525;0.125707621201906;0.0455617133614115;0.190529578149936;0.489203760370572;0.286182821497897;0.0071636144429391;0.0602210854692751;0.296334322284668;0.256963726334979;0.0931344299702408;0.389468752254909;NA;NA;0.013985101670317;0.01547527979485;0.0725555603527658;0.072412304435759;0.0222292026798562;0.0233325106815553;0.0947847630326221;0.0957448151173143;NA;NA;NA;NA;NA;NA;NA;-0.00149017812453298;-0.000960052084692201;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ALL;;
A;CTScanUS;02/09/2020;H36;H3;42;Forager;0.121360116556493;0.00334997332208789;0.0279437764268534;0.144166306906623;0.172412582932707;0.0443517282626526;0.188518035169276;0.513584484407417;0.236300200339035;0.00652273077515796;0.0544093080597935;0.280706118045924;0.335704422869471;0.086357219910618;0.367063337956542;NA;NA;0.0148938709008765;0.0130491140565911;0.0702723506456745;0.0738838254528113;0.0214866525902229;0.0228650756724297;0.0917590032358975;0.096748901125241;NA;NA;NA;NA;NA;NA;NA;0.00184475684428542;-0.00498989788934351;NA;NA;NA;NA;NA;NA;NA;NA;NA;ALL;NA;NA;;
A;CTScanUS;02/09/2020;H36;H3;43;Forager;0.132782131705408;0.00392822096937222;0.0291023301587316;0.145903111563212;0.180332664018174;0.0481865571296154;0.194089668692828;0.540235015544513;0.245785867048204;0.0072713186971283;0.0538697591258478;0.270073407619004;0.333804101602731;0.089195545907085;0.359268953526089;0.0648892526496528;0.0678042344819783;0.0146709935478464;0.0144288039087773;0.0722977229030602;0.0736053886601518;0.0236605030921182;0.0245260540374972;0.0959582259951784;0.098131442697649;NA;NA;NA;NA;NA;NA;-0.0029149818323255;0.00024218963906913;-0.00217321670247064;NA;NA;ALL;NA;NA;NA;NA;NA;NA;ALL;NA;NA;;
A;CTScanUS;02/09/2020;H36;H3;44;Forager;0.137830312773378;0.00364855327449502;0.0278939416545797;0.141294618064727;0.160536344077781;0.0438594092869177;0.185154027351645;0.515063179131878;0.267598846816591;0.00708370045135926;0.0541563497153766;0.274324828078129;0.311682819859807;0.0851534550787366;0.359478283156866;NA;NA;0.0137215677963622;0.0141723738582174;0.0702727189532273;0.0710218991114999;0.0216530952357721;0.0222063140511456;0.0919258141889993;0.0932282131626455;NA;NA;NA;NA;NA;NA;NA;-0.00045080606185518;-0.0013023989736462;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ALL;;
A;CTScanUS;02/09/2020;H36;H3;45;Forager;0.134711859325914;0.00361689530792142;0.0274546888609648;0.133361024115507;0.166771797731241;0.0431146583795026;0.17647568249501;0.509030923721051;0.264643763371312;0.00710545300761232;0.0539352082193144;0.261990024379322;0.327626063485746;0.0846994875366934;0.346689511916016;NA;NA;0.0137883646992441;0.0136663241617208;0.0676076085924798;0.0657534155230272;0.0207809234354689;0.0223337349440338;0.0883885320279487;0.088087150467061;NA;NA;NA;NA;NA;NA;NA;0.000122040537523299;0.000301381560887631;NA;NA;NA;NA;NA;NA;NA;NA;ALL;NA;NA;NA;;
A;CTScanUS;02/09/2020;H28;H2;46;Forager;0.133458375573115;0.00371846917251726;0.0269235214300793;0.147646021362253;0.163449436195406;0.0462347080126487;0.193880729374902;0.521430531746019;0.2559466073577;0.00713128393165989;0.0516339565692969;0.283155688770004;0.31346349368552;0.0886689696858197;0.371824658455824;0.0666623851475281;0.066795990425587;0.0133413734947034;0.0135821479353759;0.0732698310079312;0.0743761903543222;0.0227781169081249;0.0234565911045237;0.0960479479160561;0.0978327814588459;NA;NA;NA;NA;NA;NA;-0.000133605278058932;-0.000240774440672569;-0.00178483354278978;NA;NA;NA;ALL;NA;NA;NA;NA;NA;NA;NA;ALL;;
A;CTScanUS;02/09/2020;H28;H2;47;Forager;0.149153479466578;0.00372828293646583;0.0267311807822421;0.145467937545433;0.165898142868984;0.0437932357984232;0.189261173343856;0.534772259398126;0.278910277871269;0.00697172089790508;0.0499861021443548;0.272018480743848;0.310222043035102;0.0818913753075215;0.353909856051369;NA;NA;0.0134740259299916;0.013256838252137;0.0711348215994753;0.0743331159459578;0.0218854577452111;0.0219077780532121;0.0930202793446863;0.0962408939991699;NA;NA;NA;NA;NA;NA;NA;0.000217187677854591;-0.00322061465448358;NA;NA;NA;NA;NA;NA;NA;NA;NA;ALL;NA;NA;;
