Date;Hive;ID;Side;Brain;MB;AL;ME;LO;OL;MBr;ALr;MEr;LOr;OLr
16/06/2021;H1;1;Right;0.892718302451197;0.128410805376434;0.0298797608657096;0.0952756173349378;0.0300887586299056;0.125364375964843;0.143842469706119;0.0334705368800737;0.106725287331214;0.0337046507809786;0.140429938112192
16/06/2021;H1;2;Right;0.61901062590933;NA;0.0264788678123292;0.0763494439435663;0.0260007992034962;0.102350243147062;NA;0.0427761119180008;0.123341087774396;0.04200380109033;0.165344888864725
16/06/2021;H1;3;Right;0.863853047611517;NA;0.0334879691795122;0.109459637987184;0.0326634994605621;0.142123137447746;NA;0.0387658170242076;0.126710947295759;0.0378114073347012;0.16452235463046
16/06/2021;H1;4;Right;0.678530591209535;0.122189126031108;0.026900383554866;0.0791130678572572;0.0257956918307775;0.104908759688035;0.180079023133351;0.0396450563959304;0.116594695776696;0.0380169916654673;0.154611687442163
16/06/2021;H1;5;Right;0.667777430303843;NA;0.0238918666923744;0.0778966786490242;0.0252884642352726;0.103185142884297;NA;0.0357781883725891;0.116650661004791;0.037869600090806;0.154520261095598
16/06/2021;H1;7;Right;0.822289959876092;NA;0.0285426427185229;0.0819002761312927;0.0272343386342125;0.109134614765505;NA;0.0347111652960276;0.0996002385139592;0.0331201157293911;0.13272035424335
16/06/2021;H2;9;Right;0.855938010962246;0.131362015272287;0.0287291711685857;0.0838948968099426;0.0284371891917578;0.1123320860017;0.153471412169918;0.0335645464982778;0.0980151549942593;0.0332234213547646;0.131238576349023
16/06/2021;H2;10;Right;0.619776203614823;NA;0.0245508587551589;0.0694632557024517;0.0236808876293813;0.093144143331833;NA;0.0396124578710297;0.112077965074021;0.0382087719587544;0.150286737032776
16/06/2021;H2;11;Right;1.06252977757122;0.158458956705654;0.0396812046832874;0.106512723857432;0.0342936859983862;0.140806409855818;0.149133661992859;0.0373459695162544;0.100244460066713;0.0322755057997304;0.132519965866444
16/06/2021;H2;12;Right;0.935621245089233;0.152448227353725;0.0271150997406587;0.0914181852166448;0.0303708486820584;0.121789033898703;0.162937971058134;0.0289808508335792;0.0977085393223686;0.0324606231864282;0.130169162508797
16/06/2021;H2;13;Right;0.833650535775034;NA;0.0282021270477478;0.0804026352321065;0.0276462923069261;0.108048927539033;NA;0.0338296754305192;0.0964464506189722;0.0331629275344059;0.129609378153379
16/06/2021;H2;14;Right;0.844900756451807;NA;0.0298342594745685;0.105043669662706;0.0417500381796479;0.146793707842354;NA;0.0353109631477413;0.124326637016921;0.0494141327970622;0.173740769813984
16/06/2021;H2;15;Right;1.0007256564341;0.150602945189561;0.0350320197280026;0.0993470416056526;0.0330419570440014;0.132388998649654;0.15049373843997;0.0350066169511759;0.0992750020616613;0.0330179973218037;0.132292999383465
16/06/2021;H2;17;Right;0.86563004978647;NA;0.0321279926112743;0.0901113008710125;0.0303212666812165;0.120432567552229;NA;0.0371151540074186;0.104099090475476;0.0350279737732026;0.139127064248679
16/06/2021;H2;18;Right;1.00446688625363;0.150500173597713;0.0337838783355687;0.0963163418691081;0.0334890726826113;0.129805414551719;0.149830896027877;0.0336336406883185;0.0958880209862767;0.0333401460425598;0.129228167028836
16/06/2021;H2;20;Right;1.02579190646904;0.153005049436092;0.0358475970492108;0.0953216407236147;0.0337306203981477;0.129052261121762;0.149157980747541;0.0349462662194369;0.0929249296299567;0.0328825175802513;0.125807447210208
16/06/2021;H2;21;Right;0.896592813447463;0.124341925617232;0.0313780071716802;0.0919001026207528;0.0312383872407872;0.12313848986154;0.138682714998717;0.0349969425374151;0.1024992630349;0.034841219751331;0.137340482786231
16/06/2021;H3;22;Right;0.961179609857621;NA;0.039604577018733;0.105461002868038;0.0317577167810344;0.137218719649072;NA;0.0412041377205241;0.10972039126346;0.0330403563031665;0.142760747566626
16/06/2021;H3;23;Right;0.929934539227838;0.125664972997272;0.0294341026169686;0.0915948062583893;0.0297752208573238;0.121370027115713;0.135133138620291;0.0316518006110505;0.0984959719148018;0.0320186202375571;0.130514592152359
16/06/2021;H3;24;Right;0.860556807132107;0.148831336748963;0.0348045781523483;0.10200056711486;0.0326720738611094;0.134672640975969;0.172947718866996;0.0404442540735203;0.118528569258301;0.0379662023358951;0.156494771594195
16/06/2021;H3;25;Right;0.941951314681339;0.151220908993349;0.0357354551948429;0.107063516898575;0.0327545114707868;0.139818028369362;0.160540047703534;0.0379376881138832;0.113661412463546;0.0347730407721418;0.148434453235688
16/06/2021;H3;26;Right;0.992892663892613;NA;0.0351920771668884;0.100944569829508;0.0327445149818521;0.13368908481136;NA;0.0354439895133465;0.101667152453073;0.0329789071594889;0.134646059612562
16/06/2021;H3;27;Right;1.07491158807635;0.153774957039778;0.0336260035691505;0.105301156743271;0.0330186523042171;0.138319809047488;0.143058237296494;0.0312825761133781;0.0979626212158684;0.0307175517228416;0.12868017293871
16/06/2021;H3;28;Right;0.799427228457267;NA;0.031321753389796;0.0885946892196191;0.029388071135889;0.117982760355508;NA;0.0391802433978145;0.110822706640339;0.0367614087808868;0.147584115421226
16/06/2021;H3;29;Right;0.95893329907875;0.140175492864935;0.0343182160249189;0.0959920809168372;0.0319951067932282;0.127987187710065;0.146178564243834;0.0357879073110596;0.100102980060299;0.0333653100001491;0.133468290060448
16/06/2021;H3;30;Right;1.00584234005506;NA;0.0398466072435954;0.112598950959631;0.037638584295035;0.150237535254666;NA;0.0396151619958792;0.111944930607581;0.0374199641396828;0.149364894747264
