Site;Date;Hive;ID;BeeType;Brain;Side;MB;AL;ME;LO;OL;MBr;ALr;MEr;LOr;Olr
A;07/09/2020;H5;49;Forager;0.591900203607664;Right;0.0689794395601542;0.016703062384993;0.0848992813076504;0.0248598566620642;0.109759137969715;0.116538969136555;0.0282193894903008;0.143435127729615;0.04200008128151;0.185435209011126

A;07/09/2020;H5;50;Forager;0.493481640547342;Right;NA;0.0154106039647738;0.0736574201004447;0.0231850650205732;0.0968424851210179;NA;0.0312283227957199;0.149260710122362;0.0469826293737243;0.196243339496087

A;07/09/2020;H5;51;Forager;0.504712649610455;Right;0.0623542147370111;0.0121590449700241;0.0708893322458726;0.0214050530049147;0.0922943852507874;0.12354399039758;0.0240910248225572;0.140454835638826;0.0424103755303844;0.18286521116921

A;07/09/2020;H5;52;Forager;0.540477409457466;Right;0.066933690616203;0.0163476316507722;0.0775665037173321;0.0232508020181237;0.100817305735456;0.123841791432858;0.0302466511360429;0.143514793329094;0.043019008031183;0.186533801360277

A;07/09/2020;H5;53;Forager;0.548036979431339;Right;0.0634809662076392;0.0148763434801088;0.0850020247426153;0.0239891859919407;0.108991210734556;0.115833362692987;0.0271447804408107;0.155102717394757;0.0437729330178278;0.198875650412585

A;07/09/2020;H5;54;Forager;0.51458629791326;Right;NA;0.014373855276852;0.0782492157593062;0.0238723872641549;0.102121603023461;NA;0.0279328371842402;0.152062377246772;0.0463914164853626;0.198453793732135

A;07/09/2020;H5;55;Forager;0.469594405793586;Right;NA;0.0111603815349578;0.066863379119712;0.0201979151535513;0.0870612942732633;NA;0.0237660018885818;0.14238538256587;0.0430114049578978;0.185396787523767

A;07/09/2020;H5;56;Forager;0.487146657656859;Right;0.0492679926192372;0.0147559630339726;0.0733069457503428;0.0214750450100709;0.0947819907604137;0.101135852714689;0.0302905968911862;0.150482292340758;0.0440833261863365;0.194565618527095

A;07/09/2020;H5;57;Forager;0.572530486709424;Right;0.0697002883091838;0.0151959332540197;0.0812394622597379;0.0243443196177313;0.105583781877469;0.121740745562356;0.0265417014583052;0.141895434646032;0.0425205647259912;0.184415999372023

A;07/09/2020;H5;58;Forager;0.532011749030642;Right;NA;0.0105218182355398;0.0753796187324085;0.0234772995103079;0.0988569182427165;NA;0.0197774170489866;0.141687883528427;0.0441292876578101;0.185817171186238

A;07/09/2020;H5;59;Forager;0.589211310296865;Right;NA;0.0138825319454529;0.0797402276195027;0.0249133995655579;0.104653627185061;NA;0.0235612108981045;0.135333837327947;0.0422826227707775;0.177616460098726

A;07/09/2020;H5;60;Forager;0.554788555636878;Right;0.0717196426449893;0.016020747691086;0.0775532818870232;0.023553425262632;0.101106707149655;0.129273832194786;0.0288772137209909;0.139788899931425;0.0424547785337668;0.182243678465191

A;07/09/2020;H6;61;Forager;0.507936157828496;Right;NA;0.0121003762540178;0.0704440703783682;0.0225842882192202;0.0930283585975884;NA;0.0238226321704459;0.138686859150818;0.044462848078726;0.183149707229544

A;07/09/2020;H6;62;Forager;0.541849406399417;Right;0.0685519103701671;0.014926575869903;0.075250250263226;0.0235096299930019;0.0987598802562279;0.126514691278696;0.0275474618844559;0.138876686722355;0.0433877562941761;0.182264443016531

A;07/09/2020;H6;63;Forager;0.543099285878385;Right;NA;0.0122086268719285;0.0738637514330634;0.0230454587951788;0.0969092102282422;NA;0.0224795487480393;0.136004140225667;0.0424332334702044;0.178437373695871

A;07/09/2020;H6;64;Forager;0.463830262619631;Right;0.0611980612830396;0.00957470947990891;0.066891294321556;0.0194205177588109;0.086311812080367;0.131940639098027;0.0206427011162071;0.144215028022893;0.0418698806954235;0.186084908718317

A;07/09/2020;H6;65;Forager;0.466737609955647;Right;0.0560060316834134;0.0118495328064153;0.066507667076678;0.0200950186726311;0.0866026857493092;0.119994683284117;0.025387996496664;0.142494767205493;0.0430542091402077;0.185548976345701

A;07/09/2020;H4;66;Forager;0.52883884938308;Right;0.067931865416645;0.0147767075385088;0.0728206655941332;0.0228582387632486;0.0956789043573818;0.128454756105553;0.0279417965524784;0.137699160489216;0.0432234484851368;0.180922608974353

A;07/09/2020;H4;67;Forager;0.544482847636077;Right;0.0730335513854934;0.0152559255370553;0.0732250556430622;0.0212724828523288;0.0944975384953911;0.134133796321731;0.0280191113517906;0.134485514026706;0.0390691514795834;0.173554665506289

A;07/09/2020;H4;68;Forager;0.511271818068557;Right;0.0588612539875902;0.0153020901341458;0.0694591601732722;0.0224445426931142;0.0919037028663865;0.115127123982604;0.0299294613811355;0.135855640226112;0.043899432552147;0.179755072778259

A;07/09/2020;H4;69;Forager;0.531153286254009;Right;0.0610826453274002;0.0158362296584915;0.0768732971816042;0.0235996489888099;0.100472946170414;0.115000032774323;0.0298148012416105;0.144729024880478;0.0444309573141265;0.189159982194604

A;07/09/2020;H4;70;Forager;0.511252229823854;Right;NA;0.014119891075095;0.0699292349262194;0.0206575077831814;0.0905867427094008;NA;0.0276182483936742;0.136780303042028;0.0404057069644444;0.177186010006473

A;07/09/2020;H4;71;Forager;0.6277512224948;Right;NA;0.0182327517810619;0.0889878878503852;0.0267670596128241;0.115754947463209;NA;0.0290445500187185;0.141756614183451;0.0426395977477301;0.184396211931181

A;07/09/2020;H4;72;Forager;0.535757812470229;Right;NA;0.0149294890877394;0.07314922657236;0.0229447305500155;0.0960939571223755;NA;0.0278661155101103;0.136534129544634;0.042826684027665;0.179360813572299

A;07/09/2020;H4;73;Forager;0.515311586345156;Right;0.0683051519963633;0.0146588725303855;0.0682961313465071;0.0212528093182664;0.0895489406647735;0.13255116672384;0.0284466193247341;0.132533661489929;0.0412426382045896;0.173776299694518

A;07/09/2020;H4;74;Forager;0.527254711751624;Right;0.0695137533386162;0.0152249562345206;0.0754145237656289;0.0228850697081755;0.0982995934738044;0.131840933403289;0.0288759036101183;0.143032432114433;0.0434042014193627;0.186436633533795

A;07/09/2020;H4;75;Forager;0.560705733211193;Right;0.0658043771320086;0.0155891078538565;0.0785746109277676;0.0244372578981092;0.103011868825877;0.117359914897148;0.0278026546377131;0.140135201539257;0.0435830355401498;0.183718237079408

A;07/09/2020;H4;76;Forager;0.478997073192148;Right;0.0630301203288293;0.0130544610806167;0.0652931953261358;0.0196282983053102;0.0849214936314461;0.131587694072496;0.0272537387204033;0.136312305398876;0.0409779086425365;0.177290214041413

A;07/09/2020;H4;77;Forager;0.525826230489783;Right;0.0668748110805356;0.0147080873798789;0.0758862801414694;0.0226579686065121;0.0985442487479815;0.127180439473787;0.0279713839421419;0.144318171557902;0.0430902212417346;0.187408392799637

A;07/09/2020;H4;78;Forager;0.492744939916313;Right;NA;0.0130351517037768;0.0685333383572579;0.021458853609742;0.089992191967;NA;0.0264541563957829;0.139084814080278;0.0435496174012188;0.182634431481497

A;07/09/2020;H4;79;Forager;0.537148089274843;Right;NA;0.0142744636071088;0.0755947548561846;0.0242096928533361;0.0998044477095207;NA;0.0265745404146918;0.140733545116466;0.0450707976752175;0.185804342791683

A;07/09/2020;H4;80;Forager;0.579168042050149;Right;0.0727319763557542;0.0165401521890571;0.0807478040506721;0.0237258940726096;0.104473698123282;0.125580092607141;0.0285584683341781;0.139420337774232;0.0409654752161812;0.180385812990413

A;07/09/2020;H4;81;Forager;0.538049920157728;Right;NA;0.0160110768372947;0.0714247098206165;0.0232501511059834;0.0946748609265999;NA;0.0297576047081302;0.132747366266086;0.0432118846875169;0.175959250953603

A;07/09/2020;H4;82;Forager;0.604566154797438;Right;NA;0.0173360493516175;0.0821669232652135;0.026265839826473;0.108432763091686;NA;0.0286751899921126;0.135910557700247;0.0434457662210242;0.17935632392127

A;07/09/2020;H4;83;Forager;0.518019244168883;Right;NA;0.0149016782561404;0.0679694104636377;0.0200843064349474;0.0880537168985851;NA;0.0287666499341136;0.131210203537301;0.0387713519546382;0.169981555491939

A;07/09/2020;H4;84;Forager;0.458140680583177;Right;NA;0.0135067145728153;0.0651631991380003;0.0212729053145226;0.0864361044525229;NA;0.0294815875237761;0.142234038363615;0.0464331289844069;0.188667167348022

A;07/09/2020;H6;85;Forager;0.516647712800921;Right;NA;0.0134315316604035;0.0696085891729554;0.0237716237817377;0.0933802129546931;NA;0.0259974666056037;0.134731244227491;0.0460112823356243;0.180742526563115

A;07/09/2020;H6;86;Forager;0.542365930846364;Right;NA;0.0151379738304035;0.0749512345348119;0.0241614394540091;0.099112673988821;NA;0.0279109969292884;0.138193109618538;0.0445482248789209;0.182741334497459

A;07/09/2020;H6;87;Forager;0.509590209777934;Right;0.0655690773648512;0.0128587704511833;0.0675660384172813;0.0221052208500869;0.0896712592673682;0.128670206190626;0.0252335508109287;0.132588964860068;0.0433784253031858;0.175967390163254

A;07/09/2020;H6;88;Forager;0.47079983390033;Right;NA;0.010842813268482;0.062576098134883;0.0201674300632273;0.0827435281981103;NA;0.0230306225443093;0.13291444395057;0.0428365275666109;0.175750971517181

A;07/09/2020;H6;89;Forager;0.560067389907267;Right;NA;0.0141603510482969;0.0758325124823678;0.0234787664189752;0.099311278901343;NA;0.0252832985877673;0.135398907076028;0.0419213238300889;0.177320230906117

A;07/09/2020;H6;90;Forager;0.506572766269783;Right;NA;0.0110671903532463;0.0683046526867208;0.0208705583426308;0.0891752110293516;NA;0.0218471877885206;0.134836803781797;0.0411995269629553;0.176036330744752

B;27/08/2020;H8;91;Forager;0.457423993434963;Right;NA;0.0120067922137564;0.0651989488554265;0.0185437496662088;0.0837426985216353;NA;0.0262487153845889;0.14253504361637;0.0405395211715001;0.18307456478787

B;27/08/2020;H8;92;Forager;0.502988892146598;Right;0.0632172368000548;0.0142289559792517;0.0669061081227727;0.0219760290167525;0.0888821371395251;0.125683166740052;0.0282888075689445;0.133017068900346;0.0436908833572164;0.176707952257562

B;27/08/2020;H8;93;Forager;0.478291283413595;Right;0.0701876373228066;0.0118438986339511;0.0642207288097762;0.0186118407104946;0.0828325695202708;0.146746636948667;0.0247629405859552;0.134271167041617;0.0389131923493582;0.173184359390975

B;27/08/2020;H8;94;Forager;0.467966047559445;Right;NA;0.0122357784209738;0.0635694074092282;0.0196148579784463;0.0831842653876745;NA;0.0261467225769611;0.1358419221667;0.0419151305543265;0.177757052721026

B;27/08/2020;H8;95;Forager;0.492981219391641;Right;0.0694140909591047;0.0123947175636408;0.0653642549552397;0.020410806199208;0.0857750611544477;0.140804737033927;0.0251423727235216;0.132589746595016;0.0414028068338907;0.173992553428907

B;27/08/2020;H8;96;Forager;0.425193377738206;Right;0.0480094723947164;0.012196992538355;0.0667007002011832;0.0194744744331576;0.0861751746343408;0.11291208873031;0.0286857537698171;0.156871446483937;0.0458014528277723;0.202672899311709

B;27/08/2020;H7;97;Forager;0.497275714718428;Right;0.0639861649981327;0.0150530169802032;0.0675530610909201;0.0226551878619064;0.0902082489528265;0.128673416183944;0.0302709674626412;0.135846290280173;0.0455586049979023;0.181404895278075

B;27/08/2020;H9;98;Forager;0.48802013504607;Right;NA;0.0120124317091742;0.0753199998313109;0.0218183078170639;0.0971383076483747;NA;0.0246146231405805;0.154337893915382;0.0447078025069687;0.199045696422351

B;27/08/2020;H9;99;Forager;0.524741947873243;Right;0.063315641962987;0.0142891048743192;0.077246387470983;0.0234415144500873;0.10068790192107;0.120660530799191;0.0272307272788698;0.147208333132236;0.044672461473863;0.191880794606099

B;27/08/2020;H9;100;Forager;0.531889403084995;Right;0.0654789619817913;0.0142044275561346;0.0737281952751811;0.0230484996459892;0.0967766949211703;0.123106348052826;0.0267056035968153;0.138615649884266;0.0433332559594275;0.181948905843694

B;27/08/2020;H8;101;Forager;0.510873838533009;Right;NA;0.0148593295358137;0.0731565201649121;0.0211305848614946;0.0942871050264067;NA;0.0290861038773932;0.143198799090953;0.0413616499176622;0.184560449008615

B;27/08/2020;H8;102;Forager;0.469366777367084;Right;NA;0.0115882107822318;0.0661400640368072;0.0191667432984176;0.0853068073352248;NA;0.0246890307133282;0.140913390606426;0.0408353215920683;0.181748712198494

B;27/08/2020;H8;103;Forager;0.558153557680138;Right;NA;0.0142849171218338;0.0818518247534105;0.0239649676225432;0.105816792375954;NA;0.0255931668360342;0.146647501618753;0.0429361549215043;0.189583656540257

B;27/08/2020;H8;104;Forager;0.472077641698137;Right;0.0628671709644577;0.0130117548740826;0.0672764946738102;0.0197450076030966;0.0870215022769068;0.133171252801371;0.0275627433387383;0.142511503895432;0.0418257630928479;0.184337266988279

B;27/08/2020;H8;105;Forager;0.467922812763051;Right;NA;0.0126186067952084;0.0673601306899816;0.0204537277286059;0.0878138584185875;NA;0.0269672827462641;0.143955645787443;0.0437117558082456;0.187667401595688

B;27/08/2020;H7;106;Forager;0.497656308013503;Right;0.0667972161389464;0.0129232290440907;0.0672353614544547;0.0207590337961162;0.0879943952505709;0.134223589781432;0.0259681809232488;0.135104007267261;0.0417135952299693;0.176817602497231

B;27/08/2020;H7;107;Forager;0.46122456711081;Right;0.0610988195812907;0.0113266609942762;0.0602569057782952;0.0192736371753244;0.0795305429536195;0.13247086980649;0.0245578006939837;0.130645481778551;0.0417879674017752;0.172433449180326

B;27/08/2020;H7;108;Forager;0.546905217500429;Right;NA;0.0159463436772528;0.0754287618835482;0.0238765413503289;0.0993053032338771;NA;0.029157417349452;0.137919258163759;0.0436575490346463;0.181576807198405

B;27/08/2020;H7;109;Forager;0.564744809414598;Right;0.0728203711177608;0.0173425548962911;0.0729397075210626;0.0228750791851777;0.0958147867062403;0.128943851990857;0.0307086574452415;0.129155162305379;0.0405051605678138;0.169660322873193

B;27/08/2020;H7;110;Forager;0.507974166937533;Right;NA;0.0147760392213078;0.0661977066546174;0.0202096052792092;0.0864073119338266;NA;0.0290881705862906;0.130317073117535;0.0397847107089098;0.170101783826445

A;02/09/2020;H1;1;Forager;0.516718099457239;Left;0.065093413037017;0.0158319244854128;0.0689132201463359;0.0209516435773635;0.0898648637236994;0.12597471059247;0.030639384418782;0.133367149745136;0.0405475318154543;0.173914681560591

A;02/09/2020;H1;2;Forager;0.516737477589402;Left;0.0672391609749863;0.0138305445334578;0.0648860293579976;0.0192692132559194;0.084155242613917;0.130122477836636;0.0267651276194979;0.125568653662771;0.0372901407225405;0.162858794385312

A;02/09/2020;H1;3;Forager;0.549993925793207;Left;NA;0.0151588908394901;0.0747131687378454;0.0226398792901422;0.0973530480279875;NA;0.027561924102394;0.135843625236576;0.041163871505473;0.177007496742048

A;02/09/2020;H1;4;Forager;0.54002586266901;Left;0.0637620364087709;0.0155398673221124;0.0760589372557724;0.0232978497961295;0.0993567870519019;0.118072190271842;0.0287761538777209;0.140843138289453;0.0431421000486584;0.183985238338111

A;02/09/2020;H1;5;Forager;0.524899769378788;Left;0.0582912623739089;0.0145174188880975;0.0703705931200966;0.022279605245897;0.0926501983659936;0.111052177528856;0.0276575066993812;0.134064820038651;0.0424454468179032;0.176510266856554

A;02/09/2020;H1;6;Forager;0.538398611351081;Left;0.0612239704089145;0.0157590573905671;0.0777858032078494;0.0245159885851186;0.102301791792968;0.113714948586655;0.0292702415242503;0.144476232976624;0.0455350145194415;0.190011247496065

A;02/09/2020;H1;7;Forager;0.53526088346595;Left;NA;0.0149827457551477;0.0737005330370889;0.0233280570998596;0.0970285901369485;NA;0.0279914826918243;0.137690863116803;0.0435825927514159;0.181273455868218

A;02/09/2020;H1;8;Forager;0.487942345781408;Left;0.0733301202073619;0.0101143465034648;0.0631959869674357;0.0194752140824822;0.082671201049918;0.150284394952294;0.0207285688379174;0.129515274732369;0.0399129410489961;0.169428215781365

A;02/09/2020;H1;9;Forager;0.551484592369419;Left;0.0707397690859195;0.0157009173986511;0.0759241238690078;0.0234222025559004;0.0993463264249081;0.128271523927786;0.0284702739041051;0.137672248544251;0.0424711821145689;0.18014343065882

A;02/09/2020;H6;10;Forager;0.505555544249404;Left;NA;0.0110841762532025;0.0643791472755701;0.0183591265865932;0.0827382738621633;NA;0.0219247447274248;0.127343371085275;0.0363147566977055;0.163658127782981

A;02/09/2020;H6;11;Forager;0.536524643097967;Left;NA;0.0143996736150943;0.075362792591953;0.0245656016389241;0.0999283942308771;NA;0.0268387925891877;0.140464736450497;0.0457865299477745;0.186251266398272

A;02/09/2020;H6;12;Forager;0.49724193922817;Left;NA;0.0114060243294327;0.0683601649107844;0.0204298839517815;0.0887900488625659;NA;0.0229385806578129;0.137478678924176;0.0410864055101491;0.178565084434325

A;02/09/2020;H6;13;Forager;0.506124565896001;Left;0.0622302298528388;0.0125083820990238;0.0702484478589632;0.0213723642857997;0.0916208121447629;0.12295437535752;0.0247140386811298;0.138796755961847;0.0422274786207301;0.181024234582578

A;02/09/2020;H6;14;Forager;0.551951378942436;Left;0.0751364499016538;0.0169090807329754;0.0754930787071676;0.0210650014115209;0.0965580801186885;0.136128747509642;0.0306350910208323;0.136774871097914;0.0381645960408368;0.174939467138751

